TOOL,STATUS,TIMESTAMP
HXV001,-,-
HXV002,-,-
HXV003,STANDBY,2025-02-26 05:22:03
HXV004,-,-
HXV005,PROD,2025-02-27 10:43:58
HXV006,PROD,2025-02-27 07:53:02
HXV007,PROD,2025-02-27 01:22:57
HXV008,-,-
HXV009,-,-
HXV010,-,-
HXV011,-,-
HXV012,-,-
HXV013,-,-
HXV015,-,-
HXV016,BAGGED,2025-02-26 16:08:11
HXV017,-,-
HXV201,-,-
HXV202,-,-
HXV203,PROD,2025-02-27 12:15:09
HXV204,STANDBY,2025-02-27 07:38:52
HXV205,-,-
HXV206,-,-
HXV207,PROD,2025-02-27 06:51:58
HXV208,-,-
HXV209,PROD,2025-02-27 06:37:20
HXV210,CUSTOMER ENG,2025-02-27 11:17:36
HMV801,-,-
HMV802,-,-
HMV803,-,-
HMV804,-,-
HMV805,-,-
HMV806,-,-
HMV807,-,-
